iter	RMSE
265	1.169547296
266	1.168130149
267	1.166007665
268	1.164556476
269	1.163317169
270	1.161745412
271	1.160302117
272	1.158867411
273	1.157141173
274	1.155172603
275	1.153786998
276	1.152416709
277	1.15103807
278	1.149457189
279	1.148062366
280	1.146704574
281	1.145291489
282	1.143419126
283	1.142078532
284	1.140728355
285	1.13933433
286	1.138015934
287	1.136669473
288	1.133854437
289	1.132500659
290	1.131163549
291	1.1298338
292	1.128509373
293	1.127208288
294	1.125883818
295	1.124560856
296	1.123258222
297	1.121538957
298	1.120243662
299	1.118927328
300	1.117620673
301	1.11634773
302	1.115093427
303	1.113827882
304	1.112534013
305	1.111257867
306	1.109982583
307	1.108577521
308	1.107325261
309	1.106073986
310	1.104822973
311	1.103448261
312	1.102210104
313	1.10099024
314	1.099636099
315	1.098409675
316	1.097181655
317	1.095960261
318	1.094747009
319	1.093549083
320	1.092338276
321	1.09114063
322	1.089940523
323	1.088744399
324	1.087551623
325	1.08576642
326	1.084571939
327	1.082924241
328	1.081305613
329	1.080123789
330	1.078522318
331	1.07735192
332	1.076185281
333	1.075025087
334	1.073879393
335	1.072729478
336	1.071580487
337	1.070438002
338	1.069294815
339	1.068144054
340	1.06700679
341	1.065870344
342	1.064741489
343	1.063613387
344	1.062484601
345	1.060762555
346	1.059202239
347	1.058093244
348	1.056982227
349	1.055873939
350	1.054762496
351	1.053654328
352	1.052557411
353	1.051454133
354	1.050347088
355	1.049249432
356	1.048159271
357	1.04707582
358	1.046002529
359	1.044505177
360	1.043424618
361	1.042345428
362	1.041270052
363	1.039791314
364	1.038718519
365	1.037245146
366	1.036171536
367	1.035103301
368	1.034037789
369	1.032974646
370	1.031522247
371	1.030462172
372	1.029409425
373	1.02836105
374	1.027314246
375	1.026266703
376	1.025221823
377	1.024181889
378	1.023143925
379	1.022105021
380	1.021073664
381	1.020039738
382	1.019010431
383	1.017985865
384	1.01696285
385	1.015941124
386	1.014924915
387	1.013907112
388	1.012893287
389	1.011879284
390	1.010493934
391	1.009119849
392	1.008114923
393	1.007111956
394	1.00610754
395	1.005109013
396	1.004113082
397	1.00312135
398	1.002125474
399	1.001137729
400	1.000148749
401	0.9991635764
402	0.998177387
403	0.9971977373
404	0.9962190424
405	0.9948823978
406	0.993908219
407	0.9929345997
408	0.991614191
409	0.9906446713
410	0.989677395
411	0.9887087812
412	0.9877440779
413	0.9867838935
414	0.9858227826
415	0.9848648439
416	0.9839088962
417	0.9829538679
418	0.9820031096
419	0.9810543066
420	0.9801060777
421	0.9791598157
422	0.9782124593
423	0.9772704951
424	0.976329805
425	0.9753901175
426	0.9744527416
427	0.9735209987
428	0.9725847107
429	0.9716504318
430	0.9707173968
431	0.9697903964
432	0.9688625511
433	0.9679356592
434	0.9670114543
435	0.9660875225
436	0.9651678926
437	0.9642483817
438	0.9633311854
439	0.9624149665
440	0.9611647048
441	0.9602497761
442	0.9593383036
443	0.9581031443
444	0.957194041
445	0.9562848252
446	0.955379937
447	0.9544742578
448	0.9535701668
449	0.9526683869
450	0.9517655966
451	0.9508668918
452	0.9498408928
453	0.948945321
454	0.9480497893
455	0.9471571897
456	0.9462662949
457	0.9453771179
458	0.9444897468
459	0.9436013643
460	0.9427178507
461	0.9418336315
462	0.9409514977
463	0.9397395799
464	0.9388598687
465	0.9379812244
466	0.9367854354
467	0.9359083715
468	0.9350334138
469	0.9341579429
470	0.9329266277
471	0.9320544316
472	0.9311833221
473	0.9303138753
474	0.9294469125
475	0.9285805838
476	0.927715423
477	0.9268507752
478	0.9259880073
479	0.9247749092
480	0.9239151061
481	0.9230562045
482	0.9221979854
483	0.9213406519
484	0.9204861369
485	0.9196328581
486	0.9181689317
487	0.9173163853
488	0.9164657646
489	0.9156151519
490	0.914767595
491	0.9139210493
492	0.9130756455
493	0.9122312807
494	0.9113883055
495	0.9105471681
496	0.9097075937
497	0.9088684067
498	0.9076937707
499	0.9068565942
500	0.9060212091
501	0.9051873682
502	0.9043543477
503	0.9035221022
504	0.9026916229
505	0.9017388215
506	0.9009104231
507	0.9000830863
508	0.8992571571
509	0.8984326238
510	0.8976096235
511	0.8967878792
512	0.895966748
513	0.8951475635
514	0.8943293004
515	0.8935123889
516	0.8926963507
517	0.8918817679
518	0.8910685675
519	0.8891235879
520	0.8883107608
521	0.8874989145
522	0.8866885607
523	0.8858802425
524	0.8850725534
525	0.8842664755
526	0.8834619328
527	0.8826585461
528	0.8818567394
529	0.881056006
530	0.8802563334
531	0.8794578123
532	0.8786611999
533	0.8778652519
534	0.8770702722
535	0.8762766774
536	0.8754840947
537	0.8746935707
538	0.8739034754
539	0.871997905
540	0.8712082728
541	0.8703008815
542	0.8695135919
543	0.8687279539
544	0.8679438335
545	0.8671609211
546	0.8663793413
547	0.8655996273
548	0.8648207948
549	0.8628760312
550	0.8620974129
551	0.8613196733
552	0.8605440165
553	0.8597696244
554	0.8579371546
555	0.8571628705
556	0.8563899373
557	0.8556183978
558	0.8548484561
559	0.8530520558
560	0.8522822821
561	0.8515140047
562	0.8507467834
563	0.8499811375
564	0.8492171891
565	0.8484540383
566	0.8476923959
567	0.846931607
568	0.8461724807
569	0.8454147799
570	0.844658267
571	0.8439026565
572	0.8431483532
573	0.8423957508
574	0.8416440694
575	0.8408939075
576	0.8401444447
577	0.8393962019
578	0.8386496161
579	0.8379036505
580	0.8371585993
581	0.8364148591
582	0.8356724788
583	0.8349308125
584	0.8331601907
585	0.8324188234
586	0.8316785676
587	0.8309401539
588	0.830202602
589	0.8294660541
590	0.8286208098
591	0.8278863657
592	0.827153602
593	0.8264218998
594	0.8256913319
595	0.8249612759
596	0.8242329753
597	0.8235060929
598	0.8227799209
599	0.8220546327
600	0.8213302509
601	0.8204987348
602	0.819776719
603	0.819055664
604	0.818335228
605	0.8166026776
606	0.8158829629
607	0.8151646334
608	0.8144478637
609	0.8137318377
610	0.8130166349
611	0.8123030829
612	0.8115910712
613	0.8108802761
614	0.8101699297
615	0.8084669249
616	0.8077571499
617	0.8070487418
618	0.8063418754
619	0.8056357451
620	0.8049304299
621	0.8042267452
622	0.8035245825
623	0.8028236227
624	0.8021230387
625	0.8014232628
626	0.8007250096
627	0.8000274683
628	0.7993315861
629	0.7986365121
630	0.7979421396
631	0.7972486986
632	0.7965565169
633	0.7958651364
634	0.7951752642
635	0.7944863829
636	0.7937981443
637	0.7921321836
638	0.7914441471
639	0.7907570094
640	0.7900716492
641	0.7893872078
642	0.7887035729
643	0.7879189593
644	0.7872375365
645	0.7865578839
646	0.7858790058
647	0.7842429924
648	0.7835642046
649	0.7828861248
650	0.7822102027
651	0.7815351373
652	0.7808606756
653	0.7801872723
654	0.7795147888
655	0.7788442801
656	0.7781746848
657	0.7775056576
658	0.7758985732
659	0.7752292794
660	0.7745614072
661	0.7738950507
662	0.7732296811
663	0.7725649045
664	0.7719011458
665	0.7712386348
666	0.7705776894
667	0.7699177772
668	0.769258177
669	0.7686000642
670	0.766451782
671	0.7657928132
672	0.7651356265
673	0.7644794717
674	0.7638245026
675	0.7631709211
676	0.7611173803
677	0.7604635373
678	0.7598116389
679	0.7591608749
680	0.7585114002
681	0.7578633158
682	0.7559192705
683	0.7544009161
684	0.753752019
685	0.7531049931
686	0.7524589158
687	0.7518141347
688	0.75117084
689	0.7505287855
690	0.7498876207
691	0.7492469494
692	0.7486079444
693	0.7479697456
694	0.7473327537
695	0.7453498535
696	0.7447122308
697	0.7440760135
698	0.743440892
699	0.7428072657
700	0.7413282824
701	0.7406961994
702	0.7400646307
703	0.7394337327
704	0.7388045698
705	0.7381771882
706	0.7375506527
707	0.736924641
708	0.736299162
709	0.735675168
710	0.7338080331
711	0.7323747722
712	0.7317487256
713	0.7311247155
714	0.7305016031
715	0.7298795548
716	0.7292591583
717	0.7278539656
718	0.7272338629
719	0.7266146742
720	0.7259966317
721	0.7253798318
722	0.724764053
723	0.7241490025
724	0.7235349575
725	0.722922125
726	0.7223103417
727	0.7216994454
728	0.7210891669
729	0.7204802749
730	0.7198723354
731	0.7180658721
732	0.7167009503
733	0.7160905776
734	0.7154821893
735	0.7148754693
736	0.7142698852
737	0.7136648574
738	0.7130602745
739	0.712457484
740	0.711855811
741	0.7112551404
742	0.7106549089
743	0.7100552635
744	0.7094571167
745	0.707621988
746	0.7070233959
747	0.7064261941
748	0.705830533
749	0.7052356227
750	0.704642211
751	0.7040503074
752	0.7022952201
753	0.7009822254
754	0.7003890563
755	0.6997969905
756	0.6992058359
757	0.6986159494
758	0.6980273972
759	0.6974402501
760	0.6968535509
761	0.6962680267
762	0.6956829649
763	0.6950990123
764	0.6933265545
765	0.6927421469
766	0.6921599943
767	0.6915786413
768	0.6902996568
769	0.6897187673
770	0.6891393635
771	0.6885615829
772	0.6879843249
773	0.6874078859
774	0.6860763874
775	0.6855001847
776	0.6849248871
777	0.6843507974
778	0.6837773814
779	0.6832049007
780	0.6826331894
781	0.6820622602
782	0.6814925798
783	0.6809238518
784	0.6803559866
785	0.6791210343
786	0.6785531641
787	0.6779859151
788	0.677420107
789	0.6768553753
790	0.6756441048
791	0.6750792055
792	0.6745149358
793	0.6739515863
794	0.6733898788
795	0.6728289804
796	0.6716399779
797	0.6710787663
798	0.670518338
799	0.6699589403
800	0.6694010782
801	0.6688439521
802	0.6682870891
803	0.6677310087
804	0.6671762518
805	0.6666225088
806	0.6654531334
807	0.6648995313
808	0.6643462099
809	0.6637937019
810	0.6632425093
811	0.6626923612
812	0.661544418
813	0.6609942286
814	0.6604445027
815	0.659895664
816	0.6593480451
817	0.6588013372
818	0.6582553829
819	0.6577098142
820	0.6571650305
821	0.6566215484
822	0.6560788167
823	0.6549489699
824	0.6544063424
825	0.65386432
826	0.6533232019
827	0.6527832137
828	0.6522439491
829	0.6514890569
830	0.6509505303
831	0.6504127236
832	0.6498760552
833	0.649340284
834	0.6485949287
835	0.6480601051
836	0.6475258352
837	0.6469923185
838	0.6464599747
839	0.645928121
840	0.6453971827
841	0.6448669545
842	0.6443373821
843	0.6438090757
844	0.6430741599
845	0.6425465119
846	0.6420198411
847	0.6414936516
848	0.6409685571
849	0.640444125
850	0.6399202432
851	0.6393975619
852	0.6388753711
853	0.6383541453
854	0.6371789242
855	0.636656417
856	0.6361356852
857	0.6356155123
858	0.6350292532
859	0.6345117832
860	0.6334385863
861	0.6322826826
862	0.6317636091
863	0.6312459441
864	0.6307303287
865	0.6302156777
866	0.6297017465
867	0.6291886137
868	0.6286763825
869	0.6281654492
870	0.6276552697
871	0.6271452502
872	0.6266362187
873	0.6261281064
874	0.6256204733
875	0.6251140818
876	0.6246082795
877	0.6241032422
878	0.6233606618
879	0.6228566363
880	0.6223526059
881	0.6218497329
882	0.6213480868
883	0.6208469247
884	0.6203468082
885	0.6187013293
886	0.618200246
887	0.6177008923
888	0.6172025113
889	0.6167053755
890	0.6162087187
891	0.6157129987
892	0.6152182847
893	0.6140858604
894	0.6124853848
895	0.6119897205
896	0.6114951245
897	0.611001572
898	0.6105090179
899	0.6094751883
900	0.6089827672
901	0.6084917525
902	0.6080018273
903	0.6075128695
904	0.6070248305
905	0.6065378113
906	0.6060519725
907	0.6055668111
908	0.6050827404
909	0.6045989551
910	0.6041156464
911	0.6036332491
912	0.603151957
913	0.6026709232
914	0.6021908949
915	0.6017112281
916	0.6012318995
917	0.6007534541
918	0.6002131353
919	0.5997358378
920	0.599259375
921	0.5987834162
922	0.5983079536
923	0.5957428765
924	0.5946532661
925	0.5931209243
926	0.5926421824
927	0.5916413994
928	0.5911657283
929	0.5906918512
930	0.5902198558
931	0.5897490721
932	0.5892789321
933	0.5888099119
934	0.5878270793
935	0.5873577128
936	0.58689
937	0.5864231865
938	0.5859571399
939	0.5854919101
940	0.584453359
941	0.5829705632
942	0.5825043138
943	0.5820390108
944	0.5815748169
945	0.5811113372
946	0.5806485298
947	0.5801865705
948	0.5797255988
949	0.5792656814
950	0.5788062577
951	0.5783475468
952	0.5778897523
953	0.5774328511
954	0.5769766096
955	0.5765212312
956	0.5760664782
957	0.5756125282
958	0.5751590904
959	0.5746460369
960	0.5741935946
961	0.573742076
962	0.5732912195
963	0.5726537643
964	0.5722034302
965	0.5716958069
966	0.5712464039
967	0.5707977201
968	0.5703497068
969	0.5697209048
970	0.5692735899
971	0.5688266218
972	0.5683803595
973	0.5679347899
974	0.5674898871
975	0.5668686799
976	0.566424406
977	0.5649699731
978	0.5645252218
979	0.5640817517
980	0.5636391036
981	0.5631971362
982	0.5627556893
983	0.5623147925
984	0.5618747069
985	0.5606574802
986	0.560048725
987	0.5594477919
988	0.5590083224
989	0.5585693733
990	0.5581309872
991	0.5576934807
992	0.5572567232
993	0.5568211059
994	0.5563857934
995	0.5559513168
996	0.5555172302
997	0.5550833661
998	0.5544898123
999	0.5540568909
